MEDIDA_ID, CORTES, LONG_MAX, LONG_MIN, CORTE_ID
"1","1","1000.0","15.1","1"
"2","2","15.0","10.1","1"
"3","4","10.0","0.0","1"
"4","1","1000.0","15.1","2"
"5","8","10.0","0.0","2"
"6","2","15.0","10.1","2"
"7","8","10.0","0.0","3"
"8","1","1000.0","30.1","3"
"9","4","15.0","10.1","3"
"10","2","30.0","15.1","3"
"11","1","1000.0","15.1","4"
"12","2","15.0","10.1","4"
"13","8","10.0","0.0","4"
"14","1","1000.0","15.1","5"
"15","2","15.0","10.1","5"
"16","25","10.0","0.0","5"
"17","1","1000.0","15.1","6"
"18","2","15.0","10.1","6"
"19","25","10.0","0.0","6"
