role_id, permiso_id
"1","6"
"1","23"
"1","34"
"1","45"
"1","75"
"1","76"
"1","77"
"3","5"
"3","6"
"3","7"
"3","8"
"3","9"
"3","10"
"3","11"
"3","13"
"3","23"
"3","41"
"3","42"
"3","43"
"3","44"
"3","73"
"3","74"
"3","75"
"3","76"
"8","1"
"8","2"
"8","4"
"8","12"
"8","18"
"8","19"
"8","20"
"8","21"
"8","22"
"8","23"
"8","24"
"8","25"
"8","26"
"8","27"
"8","28"
"8","29"
"8","30"
"8","31"
"8","32"
"8","35"
"8","40"
"8","69"
"8","72"
"8","78"
"8","79"
"8","80"
"8","82"
"9","14"
"9","36"
"9","37"
"9","38"
"9","39"
"9","71"
"9","81"
"9","83"
"10","45"
"10","77"
"11","1"
"11","2"
"11","4"
"11","12"
"11","15"
"11","19"
"11","21"
"11","22"
"11","23"
"11","32"
"11","38"
"11","40"
"11","70"
"11","72"
"11","80"
"11","82"
"11","84"
"12","2"
"12","71"
"12","81"
"15","2"
"15","13"
"15","14"
"15","15"
"15","80"
"16","2"
"16","15"
"16","80"
"17","4"
"17","42"
"17","43"
"17","45"
"17","70"
"17","72"
